code,name,continent,iso_country,iso_region,gps_code,iata_code,latitude,longitude
CYEY,Amos/Magny Airport,NA,CA,CA-QC,CYEY,YEY,-78.249702,48.563903
CYFA,Fort Albany Airport,NA,CA,CA-ON,CYFA,YFA,-81.69689941,52.20140076
CYFB,Iqaluit Airport,NA,CA,CA-NU,CYFB,YFB,-68.555801,63.756402
CYFC,Fredericton Airport,NA,CA,CA-NB,CYFC,YFC,-66.53720093,45.8689003
CYFE,Forestville Airport,NA,CA,CA-QC,CYFE,YFE,-69.09719849,48.74610138
CYFH,Fort Hope Airport,NA,CA,CA-ON,CYFH,YFH,-87.90779877,51.56190109
CYFJ,La Macaza / Mont-Tremblant International Inc Airport,NA,CA,CA-QC,CYFJ,YTM,-74.779999,46.409401
CYFO,Flin Flon Airport,NA,CA,CA-MB,CYFO,YFO,-101.6819992,54.67810059
CYFR,Fort Resolution Airport,NA,CA,CA-NT,CYFR,YFR,-113.6900024,61.18080139
CYFS,Fort Simpson Airport,NA,CA,CA-NT,CYFS,YFS,-121.2369995,61.7602005
CYFT,Makkovik Airport,NA,CA,CA-NL,CYFT,YMN,-59.18640137,55.07690048
CYGB,Texada Gillies Bay Airport,NA,CA,CA-BC,CYGB,YGB,-124.5179977,49.69419861
CYGD,Goderich Airport,NA,CA,CA-ON,CYGD,,-81.71060181,43.76689911
CYGE,Golden Airport,NA,CA,CA-BC,CYGE,,-116.982002,51.299196
CYGH,Fort Good Hope Airport,NA,CA,CA-NT,CYGH,YGH,-128.651001,66.24079895
CYGK,Kingston Norman Rogers Airport,NA,CA,CA-ON,CYGK,YGK,-76.59690094,44.22529984
CYGL,La Grande RiviÃ¨re Airport,NA,CA,CA-QC,CYGL,YGL,-77.70420074,53.62530136
CYGM,Gimli Industrial Park Airport,NA,CA,CA-MB,CYGM,YGM,-97.04329681,50.62810135
CYGO,Gods Lake Narrows Airport,NA,CA,CA-MB,CYGO,YGO,-94.49140167,54.55889893
CYGP,GaspÃ© (Michel-Pouliot) Airport,NA,CA,CA-QC,CYGP,YGP,-64.47859955,48.77529907
CYGQ,Geraldton Greenstone Regional Airport,NA,CA,CA-ON,CYGQ,YGQ,-86.93939972,49.77830124
CYGR,Ãles-de-la-Madeleine Airport,NA,CA,CA-QC,CYGR,YGR,-61.77809906,47.42470169
CYGT,Igloolik Airport,NA,CA,CA-NU,CYGT,YGT,-81.81610107,69.36470032
CYGV,Havre St Pierre Airport,NA,CA,CA-QC,CYGV,YGV,-63.6114006,50.2818985
CYGW,Kuujjuarapik Airport,NA,CA,CA-QC,CYGW,YGW,-77.76529694,55.2818985
CYGX,Gillam Airport,NA,CA,CA-MB,CYGX,YGX,-94.71060181,56.35749817
CYGZ,Grise Fiord Airport,NA,CA,CA-NU,CYGZ,YGZ,-82.90920258,76.42610168
CYHA,Quaqtaq Airport,NA,CA,CA-QC,CYHA,YQC,-69.61779785,61.04639816
CYHD,Dryden Regional Airport,NA,CA,CA-ON,CYHD,YHD,-92.744202,49.831699
CYHE,Hope Airport,NA,CA,CA-BC,CYHE,YHE,-121.4980011,49.36830139
CYHF,Hearst RenÃ© Fontaine Municipal Airport,NA,CA,CA-ON,CYHF,YHF,-83.68609619,49.71419907
CYHH,Nemiscau Airport,NA,CA,CA-QC,CYHH,YNS,-76.13559723,51.69110107
CYHI,Ulukhaktok Holman Airport,NA,CA,CA-NT,CYHI,YHI,-117.8059998,70.76280212
CYHK,Gjoa Haven Airport,NA,CA,CA-NU,CYHK,YHK,-95.84970093,68.63559723
CYHM,John C. Munro Hamilton International Airport,NA,CA,CA-ON,CYHM,YHM,-79.93499756,43.17359924
CYHN,Hornepayne Municipal Airport,NA,CA,CA-ON,CYHN,YHN,-84.7589035,49.19309998
CYHO,Hopedale Airport,NA,CA,CA-NL,CYHO,YHO,-60.22859955,55.44829941
CYHR,Chevery Airport,NA,CA,CA-QC,CYHR,YHR,-59.63669968,50.46889877
CYHT,Haines Junction Airport,NA,CA,CA-YT,CYHT,YHT,-137.5460052,60.78919983
CYHU,MontrÃ©al / Saint-Hubert Airport,NA,CA,CA-QC,CYHU,YHU,-73.41690063,45.51750183
CYHY,Hay River / Merlyn Carter Airport,NA,CA,CA-NT,CYHY,YHY,-115.7829971,60.83969879
CYHZ,Halifax / Stanfield International Airport,NA,CA,CA-NS,CYHZ,YHZ,-63.50859833,44.88079834
CYIB,Atikokan Municipal Airport,NA,CA,CA-ON,CYIB,YIB,-91.63860321,48.77389908
CYID,Digby / Annapolis Regional Airport,NA,CA,CA-NS,CYID,YDG,-65.78542471,44.54584504
CYIF,St Augustin Airport,NA,CA,CA-QC,CYIF,YIF,-58.65829849,51.21170044
CYIK,Ivujivik Airport,NA,CA,CA-QC,CYIK,YIK,-77.9253006,62.41730118
CYIO,Pond Inlet Airport,NA,CA,CA-NU,CYIO,YIO,-77.96669769,72.6832962
CYIV,Island Lake Airport,NA,CA,CA-MB,CYIV,YIV,-94.6536026,53.85720062
CYJF,Fort Liard Airport,NA,CA,CA-NT,CYJF,YJF,-123.4690018,60.2358017
CYJN,St Jean Airport,NA,CA,CA-QC,CYJN,YJN,-73.28109741,45.29439926
CYJT,Stephenville Airport,NA,CA,CA-NL,CYJT,YJT,-58.54999924,48.5442009
CYKA,Kamloops Airport,NA,CA,CA-BC,CYKA,YKA,-120.4440002,50.70220184
CYKD,Aklavik/Freddie Carmichael Airport,NA,CA,CA-NT,CYKD,LAK,-135.00599,68.223297
CYKF,Waterloo Airport,NA,CA,CA-ON,CYKF,YKF,-80.37860107,43.46080017
